word,type
kallistunut,adjektiivi
kaloriton,adjektiivi
kalpea,adjektiivi
kalsa,adjektiivi
kaltainen,adjektiivi
kalvakas,adjektiivi
kalvakka,adjektiivi
kalvas,adjektiivi
kalvoton,adjektiivi
kamala,adjektiivi
kallis,adjektiivi
kaksoiskupera,adjektiivi
kaksoiskovera,adjektiivi
kaksivuotinen,adjektiivi
kakaramainen,adjektiivi
kakkainen,adjektiivi
kako,adjektiivi
kaksielektrodinen,adjektiivi
kaksifooninkinen,adjektiivi
kaksijalkainen,adjektiivi
kaksikielinen,adjektiivi
kaksikylkinen,adjektiivi
kaksikätinen,adjektiivi
kaksilahkeinen,adjektiivi
kaksimastoinen,adjektiivi
kaksimerkityksinen,adjektiivi
kaksimielinen,adjektiivi
kaksimuuttujainen,adjektiivi
kaksinaamainen,adjektiivi
kaksinaismoralistinen,adjektiivi
kaksinen,adjektiivi
kaksineuvoinen,adjektiivi
kaksinkertainen,adjektiivi
kaksiosainen,adjektiivi
kaksipiippuinen,adjektiivi
kaksipitkä,adjektiivi
kaksipyöräinen,adjektiivi
kaksisiipinen,adjektiivi
kaksisuuntainen,adjektiivi
kaksiulotteinen,adjektiivi
kaksiviivainen,adjektiivi
järvenpääläinen,adjektiivi
kovasydäminen,adjektiivi
kovaääninen,adjektiivi
kovera,adjektiivi
luonnollinen,adjektiivi
luonnonkihara,adjektiivi
luonnonmukainen,adjektiivi
luonnontieteellinen,adjektiivi
luonnontilainen,adjektiivi
luonnonvarainen,adjektiivi
luonnoton,adjektiivi
luontainen,adjektiivi
luonteenomainen,adjektiivi
luonteva,adjektiivi
luotaamaton,adjektiivi
luotaantyöntävä,adjektiivi
luonnevikainen,adjektiivi
luoteinen,adjektiivi
luotolainen,adjektiivi
luottamaton,adjektiivi
luottamuksellinen,adjektiivi
luottavainen,adjektiivi
luottokelpoinen,adjektiivi
luottokelvoton,adjektiivi
luova,adjektiivi
lupaava,adjektiivi
luppana,adjektiivi
lupsakka,adjektiivi
lurjusmainen,adjektiivi
luterilainen,adjektiivi
luotettava,adjektiivi
luulotautinen,adjektiivi
luonnehäiriöinen,adjektiivi
luokkatietoinen,adjektiivi
lukematon,adjektiivi
lukenut,adjektiivi
lukihäiriöinen,adjektiivi
lukkiutumaton,adjektiivi
lukollinen,adjektiivi
lukuinen,adjektiivi
lukuisa,adjektiivi
